,True value,Bias,Std deviation,RMSE
fixed_effects[0],2.0,0.002866745,0.07264107,0.07269762
fixed_effects[1],0.2,-0.00045505166,0.0061356113,0.0061524627
fixed_effects[2],1.0,0.0045804977,0.042082652,0.0423312
random_prec.flat[0],0.94856,0.002057016,0.050187938,0.050230075
random_prec.flat[1],1.4978662,-0.022301912,0.06677809,0.070403755
random_prec.flat[2],1.1512926,0.00041031837,0.08259798,0.082599
noise_prec.flat[0],1.4978662,-0.001972556,0.009322691,0.00952909
"base_hazards.(1, 1).log_lmda[0]",-1.609438,0.0055441856,0.091299616,0.0914678
"base_hazards.(1, 2).log_lmda[0]",-4.6051702,-0.016077995,0.1495729,0.15043454
"link_coefs.(1, 1)[0]",-1.0,-0.005654931,0.06444273,0.06469037
"link_coefs.(1, 2)[0]",0.5,0.0033268929,0.024544233,0.02476868
"x_coefs.(1, 1)[0]",-1.0,0.01098907,0.061228555,0.062206876
"x_coefs.(1, 2)[0]",0.5,0.008944988,0.060625207,0.06128155
